ticker,debt_score,roa_score,roe_score,rev_score,eps_score,stability_score
ISRG,5,3,2,3,5,3.6
AME,5,3,2,3,5,3.6
INTU,4,3,3,3,5,3.6
INCY,5,3,2,3,5,3.6
MLM,4,3,3,3,5,3.6
NUE,5,3,2,3,5,3.6
HWM,4,3,3,3,5,3.6
MMC,3,3,4,3,5,3.6
HUBB,4,3,3,3,5,3.6
HSY,3,3,4,3,5,3.6
MSFT,4,3,3,3,5,3.6
HON,3,3,4,3,5,3.6
MSI,2,3,5,3,5,3.6
NDSN,4,3,3,3,5,3.6
HD,2,3,5,3,5,3.6
HAL,4,3,3,3,5,3.6
APH,4,3,3,3,5,3.6
NOW,4,3,3,3,5,3.6
NTAP,2,3,5,3,5,3.6
TRMB,4,3,3,3,5,3.6
EPAM,5,3,2,3,5,3.6
VLTO,3,3,4,3,5,3.6
CBOE,4,3,3,3,5,3.6
COP,4,3,3,3,5,3.6
UNP,3,3,4,3,5,3.6
CMG,3,3,4,3,5,3.6
ABT,4,3,3,3,5,3.6
CL,2,3,5,3,5,3.6
UBER,4,3,3,3,5,3.6
CHD,4,3,3,3,5,3.6
VRSK,2,3,5,3,5,3.6
CF,4,3,3,3,5,3.6
VRTX,5,3,2,3,5,3.6
ACN,4,3,3,3,5,3.6
TT,3,3,4,3,5,3.6
CDNS,4,3,3,3,5,3.6
BLDR,4,3,3,3,5,3.6
BR,3,3,4,3,5,3.6
BX,4,2,3,3,5,3.4
CLX,2,2,5,3,5,3.4
ORCL,2,2,5,3,5,3.4
PAYC,3,3,3,3,5,3.4
ADI,5,2,2,3,5,3.4
VLO,4,2,3,3,5,3.4
JBL,2,2,5,3,5,3.4
AON,2,2,5,3,5,3.4
NXPI,3,3,3,3,5,3.4
K,3,2,4,3,5,3.4
CMI,3,3,3,3,5,3.4
URI,3,3,3,3,5,3.4
PLD,5,2,2,3,5,3.4
UPS,3,2,4,3,5,3.4
LIN,4,2,3,3,5,3.4
XYL,5,2,2,3,5,3.4
ON,5,2,2,3,5,3.4
CHRW,3,3,3,3,5,3.4
AMD,5,2,2,3,5,3.4
AMP,2,2,5,3,5,3.4
IEX,4,3,2,3,5,3.4
WELL,5,2,2,3,5,3.4
CARR,3,3,3,3,5,3.4
LYV,2,2,5,3,5,3.4
LW,3,2,4,3,5,3.4
ALGN,5,2,2,3,5,3.4
MRK,3,3,3,3,5,3.4
WAT,3,3,3,3,5,3.4
MU,5,2,2,3,5,3.4
EXE,5,2,2,3,5,3.4
NKE,3,3,3,3,5,3.4
LVS,2,2,5,3,5,3.4
ABBV,2,2,5,3,5,3.4
AMGN,2,2,5,3,5,3.4
APTV,4,2,3,3,5,3.4
COO,5,2,2,3,5,3.4
CVX,5,2,2,3,5,3.4
SYY,2,2,5,3,5,3.4
DE,3,2,4,3,5,3.4
DD,5,2,2,3,5,3.4
RVTY,5,2,2,3,5,3.4
TECH,5,2,2,3,5,3.4
CSGP,5,2,2,3,5,3.4
TYL,5,2,2,3,5,3.4
EME,3,3,3,3,5,3.4
TKO,5,2,2,3,5,3.4
UHS,4,2,3,3,5,3.4
ADP,2,2,5,3,5,3.4
CRM,5,2,2,3,5,3.4
CTVA,5,2,2,3,5,3.4
DHR,5,2,2,3,5,3.4
SPG,2,2,5,3,5,3.4
CSCO,3,3,3,3,5,3.4
STE,5,2,2,3,5,3.4
SPGI,5,2,2,3,5,3.4
ROP,5,2,2,3,5,3.4
DVA,2,2,5,3,5,3.4
EQT,5,2,2,3,5,3.4
CTRA,5,2,2,3,5,3.4
TSLA,5,2,2,3,5,3.4
ROK,3,3,3,3,5,3.4
RL,3,3,3,3,5,3.4
COST,3,3,3,3,5,3.4
COR,2,2,5,3,5,3.4
TDY,5,2,2,3,5,3.4
RCL,2,3,4,3,5,3.4
SWKS,5,2,2,3,5,3.4
MDT,4,2,2,3,5,3.2
WM,2,2,4,3,5,3.2
MKC,4,2,2,3,5,3.2
MAA,4,2,2,3,5,3.2
TSN,4,2,2,3,5,3.2
WMT,3,2,3,3,5,3.2
TAP,4,2,2,3,5,3.2
MCHP,4,2,2,3,5,3.2
WMB,3,2,3,3,5,3.2
PYPL,3,2,3,3,5,3.2
LYB,3,2,3,3,5,3.2
TRGP,2,2,4,3,5,3.2
ZBRA,4,2,2,3,5,3.2
ZBH,4,2,2,3,5,3.2
XYZ,4,2,2,3,5,3.2
LH,4,2,2,3,5,3.2
BDX,4,2,2,3,5,3.2
AMT,2,2,4,3,5,3.2
LKQ,4,2,2,3,5,3.2
WRB,3,2,3,3,5,3.2
ADM,4,2,2,3,5,3.2
XOM,4,2,2,3,5,3.2
WY,4,2,2,3,5,3.2
TMUS,3,2,3,3,5,3.2
WDC,4,2,2,3,5,3.2
TGT,3,2,3,3,5,3.2
TMO,4,2,2,3,5,3.2
VZ,3,2,3,3,5,3.2
WDAY,4,2,2,3,5,3.2
NWSA,4,2,2,3,5,3.2
O,4,2,2,3,5,3.2
OXY,4,2,2,3,5,3.2
PANW,3,2,3,3,5,3.2
VMC,4,2,2,3,5,3.2
RSG,3,2,3,3,5,3.2
UDR,4,2,2,3,5,3.2
VICI,4,2,2,3,5,3.2
PFE,4,2,2,3,5,3.2
PGR,3,2,3,3,5,3.2
REG,4,2,2,3,5,3.2
UNH,3,2,3,3,5,3.2
PODD,3,2,3,3,5,3.2
ACGL,3,2,3,3,5,3.2
PPG,3,2,3,3,5,3.2
AFL,3,2,3,3,5,3.2
TXT,4,2,2,3,5,3.2
NWS,4,2,2,3,5,3.2
SYK,4,2,2,3,5,3.2
AKAM,4,2,2,3,5,3.2
MOH,3,2,3,3,5,3.2
MOS,4,2,2,3,5,3.2
MPC,3,2,3,3,5,3.2
SW,4,2,2,3,5,3.2
WAB,4,2,2,3,5,3.2
PTC,4,2,2,3,5,3.2
TTD,4,2,2,3,5,3.2
NCLH,2,2,4,3,5,3.2
VTR,4,2,2,3,5,3.2
NEM,4,2,2,3,5,3.2
ALB,4,2,2,3,5,3.2
NOC,3,2,3,3,5,3.2
NSC,3,2,3,3,5,3.2
SOLV,4,2,2,3,5,3.2
SNPS,4,2,2,3,5,3.2
LDOS,3,2,3,3,5,3.2
BBY,2,2,4,3,5,3.2
AVB,4,2,2,3,5,3.2
FOX,4,2,2,3,5,3.2
ELV,3,2,3,3,5,3.2
ENPH,3,2,3,3,5,3.2
EQR,4,2,2,3,5,3.2
AVY,3,2,3,3,5,3.2
ESS,4,2,2,3,5,3.2
EXPE,2,2,4,3,5,3.2
EXR,4,2,2,3,5,3.2
FANG,4,2,2,3,5,3.2
ATO,4,2,2,3,5,3.2
FCX,4,2,2,3,5,3.2
FOXA,4,2,2,3,5,3.2
HIG,3,2,3,3,5,3.2
FTV,4,2,2,3,5,3.2
GD,3,2,3,3,5,3.2
GE,2,2,4,3,5,3.2
GEHC,3,2,3,3,5,3.2
GILD,3,2,3,3,5,3.2
GIS,3,2,3,3,5,3.2
GLW,4,2,2,3,5,3.2
GNRC,4,2,2,3,5,3.2
ARE,4,2,2,3,5,3.2
GPC,3,2,3,3,5,3.2
EFX,4,2,2,3,5,3.2
ECL,3,2,3,3,5,3.2
DXCM,3,2,3,3,5,3.2
DOC,4,2,2,3,5,3.2
BEN,4,2,2,3,5,3.2
BG,4,2,2,3,5,3.2
BIIB,4,2,2,3,5,3.2
BKR,4,2,2,3,5,3.2
BRO,4,2,2,3,5,3.2
BSX,4,2,2,3,5,3.2
CAG,4,2,2,3,5,3.2
CDW,2,2,4,3,5,3.2
CEG,3,2,3,3,5,3.2
CMCSA,3,2,3,3,5,3.2
CPB,3,2,3,3,5,3.2
CPT,4,2,2,3,5,3.2
CRL,4,2,2,3,5,3.2
CSX,3,2,3,3,5,3.2
DDOG,4,2,2,3,5,3.2
AXP,2,2,4,3,5,3.2
DG,3,2,3,3,5,3.2
DGX,4,2,2,3,5,3.2
AXON,4,2,2,3,5,3.2
DIS,4,2,2,3,5,3.2
DLR,4,2,2,3,5,3.2
GPN,4,2,2,3,5,3.2
LHX,4,2,2,3,5,3.2
J,4,2,2,3,5,3.2
KDP,4,2,2,3,5,3.2
IVZ,4,2,2,3,5,3.2
IR,4,2,2,3,5,3.2
IQV,3,2,3,3,5,3.2
HST,4,2,2,3,5,3.2
INVH,4,2,2,3,5,3.2
HSIC,4,2,2,3,5,3.2
HRL,4,2,2,3,5,3.2
JBHT,4,2,2,3,5,3.2
JCI,4,2,2,3,5,3.2
HUM,3,2,3,3,5,3.2
APD,4,2,2,3,5,3.2
KMI,4,2,2,3,5,3.2
KIM,4,2,2,3,5,3.2
HOLX,4,2,2,3,5,3.2
EMN,3,2,2,3,5,3.0
SYF,2,2,3,3,5,3.0
TPR,2,2,3,3,5,3.0
DAY,3,2,2,3,5,3.0
LUV,3,2,2,3,5,3.0
AES,2,2,3,3,5,3.0
AEP,3,2,2,3,5,3.0
IPG,3,2,2,3,5,3.0
IP,3,2,2,3,5,3.0
T,3,2,2,3,5,3.0
DTE,3,2,2,3,5,3.0
AEE,3,2,2,3,5,3.0
SWK,3,2,2,3,5,3.0
MDLZ,3,2,2,3,5,3.0
EQIX,3,2,2,3,5,3.0
DUK,3,2,2,3,5,3.0
DAL,2,2,3,3,5,3.0
SRE,3,2,2,3,5,3.0
ED,3,2,2,3,5,3.0
AWK,3,2,2,3,5,3.0
SO,3,2,2,3,5,3.0
RTX,3,2,2,3,5,3.0
EIX,3,2,2,3,5,3.0
STZ,3,2,2,3,5,3.0
EG,3,2,2,3,5,3.0
D,3,2,2,3,5,3.0
TRV,3,2,2,3,5,3.0
L,3,2,2,3,5,3.0
KMX,3,2,2,3,5,3.0
XEL,3,2,2,3,5,3.0
WTW,3,2,2,3,5,3.0
BLK,3,2,2,3,5,3.0
BXP,3,2,2,3,5,3.0
WEC,3,2,2,3,5,3.0
BAX,3,2,2,3,5,3.0
CB,3,2,2,3,5,3.0
CBRE,3,2,2,3,5,3.0
VST,2,2,3,3,5,3.0
VRSN,1,5,1,3,5,3.0
CHTR,2,2,3,3,5,3.0
CI,3,2,2,3,5,3.0
CINF,3,2,2,3,5,3.0
CMS,3,2,2,3,5,3.0
CNC,3,2,2,3,5,3.0
CNP,3,2,2,3,5,3.0
COIN,2,2,3,3,5,3.0
CPAY,2,2,3,3,5,3.0
LNT,3,2,2,3,5,3.0
BALL,3,2,2,3,5,3.0
UAL,2,2,3,3,5,3.0
RJF,2,2,3,3,5,3.0
CVS,3,2,2,3,5,3.0
ES,3,2,2,3,5,3.0
KR,2,2,3,3,5,3.0
FRT,3,2,2,3,5,3.0
AJG,3,2,2,3,5,3.0
APO,2,2,3,3,5,3.0
NRG,2,2,3,3,5,3.0
PEG,3,2,2,3,5,3.0
HPE,3,2,2,3,5,3.0
PNW,3,2,2,3,5,3.0
IBM,2,2,3,3,5,3.0
GM,3,2,2,3,5,3.0
GL,2,2,3,3,5,3.0
NI,3,2,2,3,5,3.0
OKE,3,2,2,3,5,3.0
FDX,3,2,2,3,5,3.0
FE,3,2,2,3,5,3.0
FI,3,2,2,3,5,3.0
OMC,2,2,3,3,5,3.0
FICO,1,5,1,3,5,3.0
GEN,2,2,3,3,5,3.0
PPL,3,2,2,3,5,3.0
PCG,3,2,2,3,5,3.0
NDAQ,3,2,2,3,5,3.0
ETR,3,2,2,3,5,3.0
KVUE,3,2,2,3,5,3.0
EXC,3,2,2,3,5,3.0
EVRG,3,2,2,3,5,3.0
HII,3,2,2,3,5,3.0
PSX,3,2,2,3,5,3.0
AMCR,3,2,2,3,5,3.0
PWR,3,2,2,3,5,3.0
NEE,3,2,2,3,5,3.0
MGM,2,2,3,3,5,3.0
MO,1,4,1,3,5,2.8
ALL,2,2,2,3,5,2.8
GEV,2,2,2,3,5,2.8
MET,2,2,2,3,5,2.8
COF,2,2,2,3,5,2.8
CZR,2,2,2,3,5,2.8
KHC,4,1,1,3,5,2.8
USB,2,2,2,3,5,2.8
MTD,1,4,1,3,5,2.8
AIZ,2,2,2,3,5,2.8
HBAN,2,2,2,3,5,2.8
CME,2,2,2,3,5,2.8
YUM,1,4,1,3,5,2.8
BK,2,2,2,3,5,2.8
CFG,2,2,2,3,5,2.8
KKR,2,2,2,3,5,2.8
NTRS,2,2,2,3,5,2.8
HCA,2,3,1,3,5,2.8
KEY,2,2,2,3,5,2.8
MSCI,1,4,1,3,5,2.8
RF,2,2,2,3,5,2.8
IBKR,2,2,2,3,5,2.8
AIG,2,2,2,3,5,2.8
SCHW,2,2,2,3,5,2.8
PRU,2,2,2,3,5,2.8
F,2,2,2,3,5,2.8
MAS,2,3,1,3,5,2.8
STT,2,2,2,3,5,2.8
ICE,2,2,2,3,5,2.8
PNC,2,2,2,3,5,2.8
DPZ,1,4,1,3,5,2.8
TFC,2,2,2,3,5,2.8
MTB,2,2,2,3,5,2.8
PFG,2,2,2,3,5,2.8
FITB,2,2,2,3,5,2.8
ORLY,1,3,1,3,5,2.6
LOW,1,3,1,3,5,2.6
BMY,3,1,1,3,5,2.6
MCD,1,3,1,3,5,2.6
SJM,3,1,1,3,5,2.6
BKNG,1,3,1,3,5,2.6
STX,1,3,1,3,5,2.6
MTCH,1,3,1,3,5,2.6
SBUX,1,3,1,3,5,2.6
AZO,1,3,1,3,5,2.6
DOW,3,1,1,3,5,2.6
PM,1,3,1,3,5,2.6
MAR,1,3,1,3,5,2.6
HLT,1,3,1,3,5,2.6
OTIS,1,3,1,3,5,2.6
HPQ,1,2,1,3,5,2.4
DASH,4,2,2,3,1,2.4
TDG,1,2,1,3,5,2.4
SBAC,1,2,1,3,5,2.4
CCI,2,1,1,3,5,2.4
WYNN,1,2,1,3,5,2.4
IRM,1,2,1,3,5,2.4
MCK,1,2,1,3,5,2.4
DELL,1,2,1,3,5,2.4
CAH,1,2,1,3,5,2.4
MHK,4,2,2,3,1,2.4
MRNA,5,1,1,3,1,2.2
BA,1,1,5,3,1,2.2
HOOD,3,2,2,3,1,2.2
INTC,4,1,1,3,1,2.0
CCL,2,2,2,3,1,2.0
VTRS,4,1,1,3,1,2.0
TTWO,4,1,1,3,1,2.0
FIS,4,1,1,3,1,2.0
IFF,4,1,1,3,1,2.0
PSKY,3,1,1,3,1,1.8
EL,3,1,1,3,1,1.8
CRWD,3,1,1,3,1,1.8
DLTR,3,1,1,3,1,1.8
WBD,3,1,1,3,1,1.8
HAS,2,1,1,3,1,1.6
MMM,2,1,1,3,1,1.6
